places 75546,NOUN,PLURAL
allure 75465,NOUN,HAS_EXAMPLE
poussé 75661,NOUN
fondée 75466,PARTICIPLE
pattes 75003,NOUN,PLURAL
talons 74872,NOUN,PLURAL
avouer 75021,VERB,HAS_EXAMPLE
fermer 74712,VERB,HAS_EXAMPLE
suivit 74218,VERB,3PS,INFLECTED_FORM
débats 74065,NOUN,PLURAL
disais 74106,VERB
douter 73972,VERB,HAS_EXAMPLE
noires 74060,ADJECTIVE
misère 74144,INTERJECTION
statue 73705,NOUN
naître 73675,VERB
tombée 73734,NOUN
bruits 73657,NOUN,PLURAL
releva 73429,VERB,3PS,INFLECTED_FORM
active 73272,ADJECTIVE
navire 73502,NOUN
lutter 73242,VERB,HAS_EXAMPLE
commis 73221,ADJECTIVE
fesses 72881,NOUN,PLURAL
touché 72625,NOUN
rayons 72759,NOUN,PLURAL
scènes 72002,NOUN,PLURAL
budget 71859,NOUN
régler 72216,VERB,HAS_EXAMPLE
crimes 71641,NOUN,PLURAL
soldat 72510,NOUN
acteur 71439,NOUN
lâcher 71259,NOUN
adulte 71232,ADJECTIVE
calmer 71225,VERB
manqué 71627,ADJECTIVE,HAS_EXAMPLE
rempli 71021,ADJECTIVE
mérite 71000,NOUN
lourde 70953,ADJECTIVE
pommes 70852,NOUN,PLURAL
divine 70774,ADJECTIVE
visant 70659,PARTICIPLE
occupe 70610,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
menton 70446,NOUN
bassin 70423,NOUN
graves 70363,VERB,INFLECTED_FORM,SUBJ
façade 70314,NOUN,HAS_EXAMPLE
hautes 70330,ADJECTIVE
suivie 69854,PARTICIPLE
auront 69424,VERB,HAS_EXAMPLE
pardon 69341,INTERJECTION
hausse 69665,NOUN,HAS_EXAMPLE
répéta 69372,VERB,3PS,INFLECTED_FORM
minuit 69201,NOUN,HAS_EXAMPLE
répète 68655,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
option 68329,NOUN
chérie 68313,ADJECTIVE
mandat 68299,NOUN
unités 68312,NOUN,PLURAL
sauter 68073,VERB,HAS_EXAMPLE
pénale 68139,ADJECTIVE
majeur 68020,ADJECTIVE,HAS_EXAMPLE
beurre 67903,NOUN,HAS_EXAMPLE
agence 67890,NOUN
songea 67899,VERB,3PS,INFLECTED_FORM
cousin 67860,NOUN,HAS_EXAMPLE
voyons 67765,INTERJECTION
sembla 67790,VERB,3PS,INFLECTED_FORM
ultime 67248,ADJECTIVE
livrer 67234,VERB
prenez 67073,VERB,FORM_OF,IMP,INFLECTED_FORM
réagir 67112,VERB
paquet 67022,NOUN,HAS_EXAMPLE
jouait 66671,VERB,3PS,INFLECTED_FORM
oiseau 66590,NOUN
acheté 66589,PARTICIPLE
opposé 66453,ADJECTIVE
peines 66284,NOUN,PLURAL
haussa 66216,VERB,3PS,INFLECTED_FORM
valait 66240,VERB,3PS,INFLECTED_FORM
fierté 66114,NOUN
survie 65627,NOUN
utiles 65886,ADJECTIVE
levant 65492,ADJECTIVE
couche 65128,NOUN,HAS_EXAMPLE
sévère 65378,ADJECTIVE
profil 65064,NOUN
prévue 64987,PARTICIPLE
masque 64956,NOUN
remise 64909,NOUN
marbre 64977,NOUN
billet 64857,NOUN,HAS_EXAMPLE
cadres 64433,VERB,INFLECTED_FORM,SUBJ
quitta 64376,VERB,3PS,INFLECTED_FORM
patrie 64262,NOUN
baissa 64334,VERB,3PS,INFLECTED_FORM
trente 64252,NUMERAL
finale 63784,ADJECTIVE
troupe 63636,NOUN
absolu 63447,ADJECTIVE,HAS_EXAMPLE
devint 63305,VERB,3PS,INFLECTED_FORM
romain 63258,ADJECTIVE
située 63116,PARTICIPLE
invite 63036,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
indice 62817,NOUN
danser 62796,VERB
voisin 62112,ADJECTIVE
fièvre 62080,NOUN
forêts 61394,NOUN,PLURAL
schéma 61453,NOUN
amener 61231,VERB,HAS_EXAMPLE
sainte 61309,ADJECTIVE
envoie 61227,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
vertus 61130,NOUN,PLURAL
caisse 61221,NOUN
évêque 61048,NOUN
préfet 60885,NOUN
future 60800,ADJECTIVE
réveil 60629,NOUN,HAS_EXAMPLE
baisse 60367,NOUN,HAS_EXAMPLE
verres 60149,NOUN,PLURAL
montra 59849,VERB,3PS,INFLECTED_FORM
engagé 59741,PARTICIPLE
restes 59484,NOUN,PLURAL
rendue 59263,PARTICIPLE
reflet 59361,NOUN
trésor 59121,NOUN,HAS_EXAMPLE
signal 59021,NOUN
acquis 58949,ADJECTIVE
poudre 58842,NOUN
jusque 58820,PREPOSITION
marqué 58822,PARTICIPLE
mondes 58819,NOUN,PLURAL
adopté 58791,NOUN
doutes 58601,VERB,INFLECTED_FORM,SUBJ
frappe 58464,NOUN,HAS_EXAMPLE
partit 58273,VERB,3PS,INFLECTED_FORM
fallut 58366,VERB,3PS,INFLECTED_FORM
connus 57957,ADJECTIVE
ferais 57885,VERB
degrés 57752,NOUN,PLURAL
retenu 57635,ADJECTIVE
grille 57337,NOUN,HAS_EXAMPLE
façons 56979,NOUN,PLURAL
ajouté 57002,PARTICIPLE
refuge 56684,NOUN
mirent 56741,VERB,INFLECTED_FORM,SUBJ
infini 56481,ADJECTIVE
poings 56422,NOUN,PLURAL
jouent 56407,VERB,INFLECTED_FORM,SUBJ
gentil 56348,ADJECTIVE,HAS_EXAMPLE
étroit 56360,ADJECTIVE
désolé 56266,ADJECTIVE,HAS_EXAMPLE
passés 56246,PARTICIPLE
confié 56307,PARTICIPLE
mobile 56171,ADJECTIVE
hôtels 56195,NOUN,PLURAL
flamme 56116,NOUN,HAS_EXAMPLE
couler 56116,VERB,HAS_EXAMPLE
étages 56047,NOUN,PLURAL
clarté 56088,NOUN
usages 55778,NOUN,PLURAL
glisse 55951,NOUN
vapeur 55654,NOUN
bouton 55634,NOUN
cesser 55413,VERB
larges 55360,ADJECTIVE
sphère 55239,NOUN
goûter 55341,NOUN
fureur 55228,NOUN,HAS_EXAMPLE
réunis 55158,PARTICIPLE
serrer 54626,VERB,HAS_EXAMPLE
citron 54594,NOUN
ombres 54721,NOUN,PLURAL
essaie 54448,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
farine 54491,NOUN
clause 54257,NOUN
posant 54299,PARTICIPLE
ruines 54239,VERB,INFLECTED_FORM,SUBJ
parent 53907,ADJECTIVE
briser 53898,VERB,HAS_EXAMPLE
leçons 53958,NOUN,PLURAL
postes 53968,NOUN,PLURAL
boucle 53827,NOUN
eurent 53596,VERB
impôts 53566,NOUN,PLURAL
impose 53341,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
sortis 53525,PARTICIPLE
montée 53298,NOUN,HAS_EXAMPLE
auprès 53262,ADVERB
chaude 53215,ADJECTIVE,HAS_EXAMPLE
essaya 53140,VERB,3PS,INFLECTED_FORM
thèmes 52902,NOUN,PLURAL
éclats 52798,NOUN,PLURAL
volant 52797,ADJECTIVE,HAS_EXAMPLE
arrête 52705,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
retira 52669,VERB,3PS,INFLECTED_FORM
prêter 52467,VERB,HAS_EXAMPLE
herbes 52556,NOUN,PLURAL
invité 52426,ADJECTIVE
global 52408,ADJECTIVE
accusé 52531,NOUN
crises 52226,NOUN,PLURAL
humide 52206,ADJECTIVE
bottes 52134,NOUN,PLURAL
regret 51685,NOUN
couché 51670,ADJECTIVE
privés 51393,ADJECTIVE
urbain 51393,ADJECTIVE
réside 51378,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
plante 51093,NOUN
poches 51001,ADJECTIVE
prenne 50864,VERB,3PS,INFLECTED_FORM,SUBJ
prouve 50903,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
exposé 50849,ADJECTIVE
joyeux 50609,ADJECTIVE
goutte 50515,ADVERB,HAS_EXAMPLE
souris 50435,NOUN
appela 50519,VERB,3PS,INFLECTED_FORM
jetant 50249,PARTICIPLE
détour 50191,NOUN
depuis 50177,ADVERB,HAS_EXAMPLE
armées 50218,NOUN,PLURAL
penche 50138,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
cabine 50060,NOUN
blessé 49890,ADJECTIVE
vienne 49695,VERB,3PS,HAS_EXAMPLE,INFLECTED_FORM,SUBJ
serons 49764,VERB
expert 49566,ADJECTIVE,HAS_EXAMPLE
appels 49531,NOUN,PLURAL
aperçu 49375,INTERJECTION
