égalité 52895,NOUN
églises 52833,NOUN,PLURAL
constat 52589,NOUN
laissée 52653,PARTICIPLE
falloir 52581,VERB,HAS_EXAMPLE
dessins 52406,NOUN,PLURAL
servent 52279,VERB,INFLECTED_FORM,SUBJ
entouré 52342,PARTICIPLE
portail 52171,NOUN,HAS_EXAMPLE
urbaine 52050,ADJECTIVE
morales 51742,ADJECTIVE
édifice 51833,NOUN
graines 51722,NOUN,PLURAL
secrète 51637,ADJECTIVE
baisers 51568,NOUN,PLURAL
sentant 51600,PARTICIPLE
suivait 51561,VERB,3PS,INFLECTED_FORM
inscrit 51489,PARTICIPLE
métiers 51421,NOUN,PLURAL
partant 51488,ADJECTIVE,HAS_EXAMPLE
épouser 51377,VERB
soigner 51092,VERB
grecque 51036,ADJECTIVE
balance 50914,NOUN
menaces 50930,NOUN,PLURAL
orgueil 50859,NOUN,HAS_EXAMPLE
pourrai 50788,VERB
couches 50743,NOUN,PLURAL
fameuse 50763,ADJECTIVE
support 50653,NOUN
partagé 50539,ADJECTIVE,HAS_EXAMPLE
bizarre 50405,ADJECTIVE,HAS_EXAMPLE
ordonna 50376,VERB,3PS,INFLECTED_FORM
coutume 50286,NOUN
voulons 50261,VERB,FORM_OF,IMP,INFLECTED_FORM
cuisson 50310,NOUN
rappela 50164,VERB,3PS,INFLECTED_FORM
descend 50077,VERB,3PS,INFLECTED_FORM
négatif 49984,ADJECTIVE,HAS_EXAMPLE
suicide 49990,NOUN
souffla 50075,VERB,3PS,INFLECTED_FORM
frisson 49970,NOUN
banques 49962,NOUN,PLURAL
suggère 49790,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
emmener 49616,VERB
poignet 49802,NOUN
